model,trial,call,name,start_step,end_step,steps,targets,note,hindsight,eef_before,eef_after,gripper_before,gripper_after,command_xyz_distance_m,actual_xyz_distance_m,remaining_xyz_error_m,cube_xy_before,cube_xy_after,cube_bottom_before,cube_bottom_after,grasped_before,grasped_after,any_grasp_during,any_contact_during,bowl_distance_before,bowl_distance_after,wait_s
glm-5.3-flash,1,1,move_to,0,39,39,"{""x"": -0.105, ""y"": 0.04, ""z"": 0.95, ""gripper"": 1}","Wrist view shows the red block left-of-center and the blue bowl farther ahead; I estimate the block is near (-0.105, 0.04). Moving above that spot at z=0.95 while opening the gripper for the grasp.",,"[-0.11095666640681369, -0.0004293926114409005, 0.9896877716001313]","[-0.10519276723386192, 0.02954961011933896, 0.9589703824352078]",0.520825,0.9916372907105642,0.056966102870007605,0.04330728732577717,0.013773727487436339,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.81,0.7997844891595536,False,False,False,False,0.22225593698863483,0.22225593698863483,378.8796191215515
glm-5.3-flash,1,2,move_to,39,41,2,"{""x"": -0.113, ""y"": 0.06, ""z"": 0.91}","Wrist view still shows the block left of center; my move of +0.03 in y shifted it right, so image-right is world -y. The block sits near (-0.113, 0.06). Moving over it and descending to z=0.91 to prepare the grasp, gripper stays open.",,"[-0.10519276723386192, 0.02954961011933896, 0.9589703824352078]","[-0.104878431823381, 0.03265204402235909, 0.9538931102851149]",0.9916372907105642,0.9923391461023612,0.05819173036780598,0.005958405437614997,0.05234955297138376,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595536,0.799784489159564,False,False,False,False,0.22225593698863483,0.22225593698863483,318.5676600933075
glm-5.3-flash,1,3,move_to,41,43,2,"{""x"": -0.113, ""y"": 0.06, ""z"": 0.91}",The arm is still trailing the previous target (measured y=0.033 vs 0.06 commanded; joints still moving). Re-issuing the same target over the block so the motion converges before I descend further.,,"[-0.104878431823381, 0.03265204402235909, 0.9538931102851149]","[-0.1048821408490889, 0.03694067388690165, 0.9473477687530288]",0.9923391461023612,0.9929820538621967,0.05234955297138376,0.007825206428176126,0.04463729369948368,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.799784489159564,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,29.680044174194336
glm-5.3-flash,1,4,move_to,43,46,3,"{""x"": -0.115, ""y"": 0.11, ""z"": 0.86}","Wrist view still shows the block ~27px left of center; each +y move shifts it right, so the block is near y=0.10, x between -0.08 and -0.16. Commanding the grasp-height hover at (-0.115, 0.11, 0.86); the servo converges gradually so I will verify with the wrist view before closing the jaws.",,"[-0.1048821408490889, 0.03694067388690165, 0.9473477687530288]","[-0.1048143449033311, 0.047111615625582304, 0.9338351911257547]",0.9929820538621967,0.9938465635567949,0.11432265266354841,0.016912788246619945,0.0975209306126102,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,407.93581676483154
glm-5.3-flash,1,5,move_to,46,48,2,"{""x"": -0.11, ""y"": 0.07, ""z"": 0.86}","Wrist view: block is now only ~20px left of center and the bowl sits right of center, confirming image-right is -y. The block is nearer y=0.07, so I retarget to (-0.11, 0.07, 0.86) to center the jaw over the block without overshooting.",,"[-0.1048143449033311, 0.047111615625582304, 0.9338351911257547]","[-0.10433669108188226, 0.052281546157437124, 0.9224201793645537]",0.9938465635567949,0.9943629145248295,0.07747518703836365,0.012540288209834265,0.06513290617173563,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,48.61894416809082
glm-5.3-flash,1,6,move_to,48,50,2,"{""x"": -0.11, ""y"": 0.07, ""z"": 0.855}",Wrist view: block now nearly centered horizontally (10px left). Fixed views show the gripper just above the block. Descending to z=0.855 so the pads straddle the block mid-height; will verify alignment in the wrist view before closing.,,"[-0.10433669108188226, 0.052281546157437124, 0.9224201793645537]","[-0.10452120888395271, 0.05549674721087637, 0.911644960797006]",0.9943629145248295,0.9948359985467087,0.06993923977297477,0.011246194903688207,0.058728298777104435,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,94.00543093681335
glm-5.3-flash,1,7,move_to,50,52,2,"{""x"": -0.11, ""y"": 0.07, ""z"": 0.855}","Wrist view: block ~12px left of center, stable as I descend; the commanded spot (-0.11, 0.07) is within about 1.5cm of it. Holding the same target so the servo finishes converging before I close the jaws.",,"[-0.10452120888395271, 0.05549674721087637, 0.911644960797006]","[-0.10528677581579336, 0.058471124645571526, 0.9020576465058929]",0.9948359985467087,0.9952693872501235,0.058728298777104435,0.010067254301334197,0.048678039646457796,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,83.3969202041626
glm-5.3-flash,1,8,move_to,52,132,80,"{""x"": -0.11, ""y"": 0.07, ""z"": 0.85, ""gripper"": 0}","Block is ~1cm off in y and the fingers are just above it; commanding the final 5mm descent together with closing the jaws so the pads meet the block sides as the arm settles, like a standard grasp sweep.",,"[-0.10528677581579336, 0.058471124645571526, 0.9020576465058929]","[-0.10968907275116982, 0.06948956119319166, 0.8557397209784099]",0.9952693872501235,0.01619213234627917,0.05352689052131692,0.047813558615006066,0.005770755621195535,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,91.94713425636292
glm-5.3-flash,1,9,move_to,132,211,79,"{""x"": -0.095, ""y"": 0.07, ""z"": 0.93, ""gripper"": 1}","Jaws closed on air just short of the block (gripper read 0.016) and the block is still visible beyond the fingertips. Reopening, lifting clear, and probing +1.5cm in +x so the block shift in the wrist view tells me which world axis the fingers point along; then I can re-approach with the correct fingertip offset.",,"[-0.10968907275116982, 0.06948956119319166, 0.8557397209784099]","[-0.09724148438829364, 0.07188889603159757, 0.922162442589944]",0.01619213234627917,0.9837815723610261,0.07570084838645522,0.06762157355461165,0.008367764733611617,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,150.408753156662
glm-5.3-flash,1,10,move_to,211,214,3,"{""x"": -0.095, ""y"": 0.0675, ""z"": 0.87, ""yaw"": -0.785, ""gripper"": 1}","The previous close missed because the jaw axis sat diagonally to the block faces. Rotating yaw by -45 degrees so the jaws align with a block axis, hovering at (-0.095, 0.0675, 0.87) with jaws open; next look tells me the rotated finger direction so I can set the correct lead offset before closing.",,"[-0.09724148438829364, 0.07188889603159757, 0.922162442589944]","[-0.09160922253859202, 0.04845080016673686, 0.9167877238774909]",0.9837815723610261,0.9864967017316287,0.05239472375715265,0.024697253137788384,0.05063062800041802,"[-0.05266292645261497, 0.06459242400859158]","[-0.05266292645261497, 0.06459242400859158]",0.7997844891595659,0.7997844891595659,False,False,False,False,0.22225593698863483,0.22225593698863483,240.10375118255615
