model,trial,seed,stage,auto_success,calls,steps,termination,any_contact,any_grasp,first_grasp_step,first_lift_step,first_lift_call,max_bottom_z,held_min_bowl_distance,final_bowl_distance,review_basis
glm-5.3-flash,1,2000,0,0.0,18,768,give_up,False,False,,,,0.7997844891595659,,0.22225593698863483,No contact in all steps; gripper closed on air beside the block.
glm-5.3-flash,2,2001,0,0.0,20,594,give_up,False,False,,,,0.7997844891595659,,0.21968612595648315,No contact or cube motion; fingers closed alongside the block.
glm-5.3-flash,3,2002,3,0.0,20,548,done,True,True,269,312,13,0.871703371363355,0.08521253301695025,0.10383012359920973,"Grasped step 269, lifted ~7cm, carried to 0.085m from bowl axis while held; release dipped below table level (over mouth) but block bounced outward and rests on table 0.104m from bowl axis. Second independent review confirmed stage 3 (final rest against outer wall, bottom_z 0.7998=table, hdist 0.1038m)."
glm-5.3-flash,4,2003,0,0.0,16,144,give_up,False,False,,,,0.7997844891595659,,0.23177988553537082,Arm stopped short of block; never reached it before episode end.
glm-5.3-flash,5,2004,0,0.0,19,301,give_up,False,False,,,,0.7997844891595659,,0.24071690722428582,Gripper moved toward bowl; block untouched.
glm-5.3-flash,6,2005,0,0.0,20,652,give_up,False,False,,,,0.7997844891595659,,0.23894312957853392,Contact/grasped never true; cube unmoved beyond spawn settle.
glm-5.3-flash,7,2006,2,0.0,20,900,max_steps,True,True,626,782,18,0.8766511415311671,0.1958750672585926,0.20164664035154717,Grasped from step 626 with sustained lift (bottom_z to 0.877) but never carried within 0.196m of bowl axis; released back on table.
glm-5.3-flash,8,2007,2,0.0,20,812,give_up,True,True,505,541,14,0.9315224529578631,0.162941581577121,0.22191601762965504,"Grasped step 505, lifted to 0.932 (~12cm) while held, released onto table; min held distance to bowl 0.163m."
glm-5.3-flash,9,2008,1,0.0,18,803,give_up,True,False,,,,0.7997844891595659,,0.2550839722824887,"49 contact steps (159-242), pressing; grasped never true, never lifted."
glm-5.3-flash,10,2009,0,0.0,20,561,done,False,False,,,,0.7997844891595659,,0.2168466370521067,"Approach/hover only, no touch; cube position unchanged."
glm-5.3-flash,11,2010,1,0.0,20,808,give_up,True,False,,,,0.7997844891595659,,0.20618957583036882,Contact steps 318-342 and 751-776 nudged block ~1.5cm; never grasped or lifted.
glm-5.3-flash,12,2011,0,0.0,12,59,give_up,False,False,,,,0.7997844891595659,,0.22872583181194628,Zero contact steps; min eef-cube 13.2cm; block never moved.
glm-5.3-flash,13,2012,0,0.0,16,900,max_steps,False,False,,,,0.7997844891595659,,0.21741360343958976,Zero contact steps; closes in mid-air near block; static through step 900.
glm-5.3-flash,14,2013,0,0.0,17,840,done,False,False,,,,0.7997844891595659,,0.27343174883437443,Zero contact steps; close approach beside block then retract.
glm-5.3-flash,15,2014,1,0.0,17,900,max_steps,True,False,,,,0.7997844891595659,,0.21504810665799093,"Contact steps 840-900 pressing block; grasped never true, no lift."
glm-5.3-flash,16,2015,0,0.0,19,460,give_up,False,False,,,,0.7997844891595658,,0.22230774330515923,No contact; displacement 0.000 over 460 steps.
glm-5.3-flash,17,2016,1,0.0,19,620,done,True,True,439,,,0.800072424177315,0.24673666769838365,0.2451360144012596,"Contact from step 430 with brief grasped flags (439-455) while block tipped on edge; bottom_z never above 0.8001, no lift."
glm-5.3-flash,18,2017,0,0.0,19,843,give_up,False,False,,,,0.7997844891595659,,0.23142517223253245,No contact; closures around block never touched; displacement 0.000 over 843 steps.
glm-5.3-flash,19,2018,1,0.0,20,698,done,True,False,,,,0.7997844891595659,,0.2784405271566327,"Fingertip nudge at steps 444-455 tilted block (0.0034m shift); no grasp, no lift."
glm-5.3-flash,20,2019,1,0.0,20,250,give_up,True,True,159,,,0.8004278394407526,0.14857611258743508,0.12741203390515954,"Swipe at step 159 shoved block ~11cm at 0.23m/s (knock, not grasp); brief grasped flags; bottom_z max 0.8004."
deepseek-v4.1-flash,1,2000,1,0.0,20,859,give_up,True,False,,,,0.7999790020009222,,0.24474744944300042,"Gripper actually touched the block during steps 738-773 and 835-859 (closed to ~0.02 and tipped/nudged it ~2.8 cm around step 774). grasped stayed false and block bottom z never exceeded ~0.800 m, so it was pushed but never collected or lifted."
