claim_id,claim,scope,evidence_artifact,evidence_path,metric_or_gate,value,unit,limitations
CL-01,Three projects implement Sim2Sim via distinct chains (Lab: Isaac Lab ONNX->deploy MuJoCo; Gym: Isaac Gym JIT->MuJoCo 100Hz; SONIC: Isaac Lab->MuJoCo/C++ ROS2),"static code analysis, all three repos",FINAL_REPORT §2,report/本周三项目Sim2Sim调研与实验总结_最终版.md,implementation table,n/a,n/a,grade D; no cross-robot numeric comparison
CL-02,G0-I startup interface gate PASS (G0a+G0b+G0c cycle0 <1e-4),"same robot/ONNX/canonical, cycle0 only",FD-02,11_p0_evidence_closure/01_interface_G0I/interface_summary.json,overall_interface_gate_pass,true,1e-4 tol,"cycle1+ divergence is dynamics, excluded"
CL-03,G0-A asset equivalence PASS (COM/Ieff/axis 1e-7),1DOF isolation assets + P1 fullbody audit,R4F_B1_Lab10s_N5R2_B31_20260831.zip,04_G0/asset_equivalence_right_elbow_pitch_joint.json; P1 zip 01_asset/fullbody_elbow_asset_audit.json,audit pass,true,relative 1e-7,isolation-only; fullbody single changed dof_armature
CL-04,"N5-R2: elbow armature 0.0685->0.01 cuts isolated |MJ-Isaac| MAE 0.006752->0.001704 (-74.8%), hip control unchanged","1DOF fixed-base step, 3 repeats, G1-G6",R4F_B1_Lab10s_N5R2_B31_20260831.zip,04_isolation_N5R2/elbow_gates.json,G4 SUPPORTED,-74.8%,rad MAE,isolated condition only
CL-05,P1: elbow-only transfer to fullbody dance_9 keeps elbow improvement -25.7% (0.0682->0.0507) with small body tradeoff,fullbody 10s x3 repeats,P1_fullbody_elbow_transfer_v1.zip,04_analysis/p1_final_gate.json,SUPPORTED_TRANSFER_TO_FULLBODY,-25.7%,rad MAE,body pos +0.0048 m tradeoff
CL-06,P2: extending armature to remaining 13 arm joints yields NO_INCREMENTAL_ARM_GROUP_EFFECT (E13 -5.0% worsen) and system guard fails,fullbody ARM_ONLY 3 repeats,P2_fullbody_arm_only_v1_1.zip,04_analysis/p2_final_gate.json,NO_INCREMENTAL_ARM_GROUP_EFFECT,E13 0.04489->0.04714,rad,R6-1 patched validator keeps decision; elbow-only remains best minimal change
CL-07,"P3: both engines complete 10 s under 20 ms explicit position-target FIFO (500 cycles, no fall, no reset)",dance_9 seed42 gain1.0 current assets,P3_R4_final_gate_v1.zip,04_analysis/p3_final_gate.json,VALID_P3 + survival,BOTH_SURVIVE_20MS_ON_DANCE9,cycles=500,"controlled equal-delay injection, not native DelayBuffer; no other delays/actions"
CL-08,P3: requested tracking rises (+10.6% isaac / +14.2% mj) while effective tracking stays at D00 level (phase shift),same 4 conditions,P3_R5_metrics_media_v1.zip,04_analysis/p3_metrics.json,requested/effective RMS,req 0.1453/0.1397 eff 0.1300/0.1231,rad,no pre-registered robustness threshold
CL-09,"P3: world body gap falls (-28.6%) driven by pelvis/root translation convergence; pelvis-relative body gap rises (+34.0%) and orientation gap +44.3% -> metric tradeoff, not uniform improvement",same 4 conditions,P3_R5_metrics_media_v1.zip,04_analysis/p3_metrics.json,cross gaps,world 0.1046->0.0747 m; rel 0.0174->0.0233 m,m/rad,must report both frames; MJ sensitivity > Isaac (q 0.048 vs 0.031 rad)
CL-10,SONIC II/IM/MM/MI four-quadrant ledger: candidate explanations with grades C/D; missing evidence kept unavailable,SONIC repo static + logs,06_sonic,06_sonic/sonic_II_IM_MM_MI_ledger.csv,ledger grades,II:C IM:D MM:C MI:C,n/a,no new runs; do not upgrade grades without evidence
