artifact_id,artifact,role,relative_path,sha256,payload_count,validation_command,validation_result,evidence_grade,required_for_full_provenance,supersedes
FD-01,R4F_B1_Lab10s_N5R2_B31_20260831.zip,"B3.1 three-project base evidence package (Lab 10s baseline, N5-R2 18 traces, G0, Gym, SONIC, report)",feedback/B31_20260831/output/R4F_B1_Lab10s_N5R2_B31_20260831.zip,cbf8a6fd92e7947bf1f5136804e30a770ba7ba35f02fc5f193a54986fa7d476f,207,python 09_report/final_package_validate.py (inside package) + sha256sum -c,B31 final gate all_pass true; 200/200 SHA,A,True,supersedes B3; plan placeholder sha 2f4e8c15... never delivered; actual cbf8a6fd... is authoritative
FD-02,R3_interface_gate_v2.zip,"R3 interface gate G0-I evidence (G0a/G0b/G0c cycle0, adapter NPZ, golden)",feedback/R3_interface_gate_v2.zip,3dd2acb8e90cee51f0f4ddf860a35f8ed0a9737ccab5908509f9aaeeb5f1161f,47,python 11_p0_evidence_closure/06_checks/validate_evidence_closure_r6.py --mode full-provenance,G0-I overall_interface_gate_pass true,A,True,plan placeholder c1a1011b... never delivered; actual 3dd2acb8... authoritative; cycle1 divergence excluded (dynamics)
FD-03,P1_fullbody_elbow_transfer_v1.zip,P1 fullbody dance_9 right-elbow armature single-variable transfer (6x10s),P1_fullbody_elbow_transfer_v1.zip,8bb8ba9658c81160c7d6542e2b418637b7b736688b8a226ba885327b6d8b6824,203,python 04_analysis/p1_validate.py --root . (inside package),SUPPORTED_TRANSFER_TO_FULLBODY validity true,A,True,elbow -25.7%; body +0.0048 tradeoff documented
FD-04,P2_fullbody_arm_only_v1_1.zip,P2 ARM_ONLY 14-joint incremental test v1.1 (10 traces),P2_fullbody_arm_only_v1_1.zip,a48749cb4513df25c1a74f6d52bd803f6c97e15ab7c7d8cbb290bfab4095398a,347,python 04_analysis/p2_validate.py --root . (R6 fail-closed patch in 14_final_delivery/validation/),NO_INCREMENTAL_ARM_GROUP_EFFECT validity true; R6 negtests 2/2 INVALID_P2,A,True,R6-1 patched validator removes absolute fallbacks and binds elbow hash into validity
FD-05,P3_R21_R3_isaac_d20_10s_v1.zip,P3 R2.1 fail-closed patch + R3 official Isaac 20 ms 10 s run (frozen sources/trace),P3_R21_R3_isaac_d20_10s_v1.zip,2fea92f341557855fabf9e346754d81fc929baae1190d6ac7162bd0bc860f864,25,unzip + python 04_analysis/p3_validate.py --root . (R4 package supersedes gate),R3_SCIENTIFIC_RUN_ACCEPTED; checkpoint_100 pass,A,True,frozen by R4; superseded as gate by FD-06
FD-06,P3_R4_final_gate_v1.zip,P3 R4 self-contained final gate (4 conditions + regressions + p3_validate + 8 real negative tests),P3_R4_final_gate_v1.zip,9a4ebdf3c75afa72bbf25d108cbce3d75d34eb5fff00aa36aa973493ee64a3e6,70,python 04_analysis/p3_validate.py --root . ; python 06_checks/run_p3_negative_tests.py --root .,VALID_P3; negatives 8/8 + CONTROL,A,True,"supersedes P3 v1 (6ca1d909, PROVISIONAL)"
FD-07,P3_R5_metrics_media_v1.zip,"P3 R5/R5.1 metrics, schema, 11 plots with labeled CSVs, four-panel 10 s media manifest",P3_R5_metrics_media_v1.zip,4f0c55f6725289fb82c6085a8b2ef83543f21fe67a39f97d947e4c0cb7cbe1d7,33,python 04_analysis/p3_summarize_r2.py --root . (within R4+R5 overlay),VALID_R5 crosscheck 0 mismatch,A,True,"v1 zip = accepted R5 baseline; R5.1 display/metadata patch (units, anchor orientation, plots 08/09/10/11, media time semantics) delivered in final package r5_1_overlay/"
FD-08,FINAL_REPORT,R7 final three-project report,14_final_delivery/report/本周三项目Sim2Sim调研与实验总结_最终版.md,68bb824ba88e192a9125b47785c96df2b8da8da97e0b4f58553b9991237a53ef,,python 14_final_delivery/validate_final_delivery.py --root 14_final_delivery --mode embedded,VALID_FINAL_DELIVERY (validation/final_validation_embedded.json + final_validation_full_provenance.json + final_negative_tests.json 5/5+CONTROL),A,False,
FD-09,ONE_PAGE_SUMMARY,R7 one-page summary with three core figures,14_final_delivery/report/本周三项目Sim2Sim一页摘要_最终版.md,eaf187e200cfb693333dcd80db99f66b16cee0d6e0db15ea9c0df094adbf1be0,,same as FD-08,VALID_FINAL_DELIVERY (validation/final_validation_embedded.json + final_validation_full_provenance.json + final_negative_tests.json 5/5+CONTROL),A,False,
FD-10,P0_EVIDENCE_CLOSURE,"P0-E overlay (G0-I/G0-A index, body/anchor recompute, environment, master index)",11_p0_evidence_closure/,dir,31,python 11_p0_evidence_closure/06_checks/validate_evidence_closure_r6.py --root 11_p0_evidence_closure [--source-root . --mode full-provenance],embedded P0_OVERLAY_VALID EXTERNAL_SOURCE_NOT_CHECKED; full-provenance EXTERNAL_SOURCES_VERIFIED,A,True,overlay only; three source ZIPs immutable
